発生日,気圧配置,ラベル,確信度,p_winter_pressure_pattern,p_nankigan_low,p_japan_sea_low,p_futatsudama_low,p_typhoon,p_migratory_high,p_pacific_high,p_front_passage,p_stationary_front,p_okhotsk_high
2013-11-28,西高東低（冬型）,winter_pressure_pattern,0.9871,0.9871,0.06,0.394,0.2478,0.0041,0.0387,0.0047,0.2826,0.339,0.0015
2013-12-06,西高東低（冬型）,winter_pressure_pattern,0.4953,0.4953,0.0928,0.3068,0.135,0.0264,0.3929,0.2228,0.1466,0.0311,0.072
2013-12-12,西高東低（冬型）,winter_pressure_pattern,0.9952,0.9952,0.0916,0.2638,0.0689,0.0039,0.1848,0.005,0.154,0.0348,0.0023
2013-12-14,西高東低（冬型）,winter_pressure_pattern,0.9969,0.9969,0.0196,0.0939,0.0243,0.0018,0.302,0.0036,0.0742,0.0188,0.0011
2013-12-21,西高東低（冬型）,winter_pressure_pattern,0.6664,0.6664,0.2114,0.5407,0.1238,0.0573,0.0866,0.1181,0.1884,0.0141,0.0325
2014-08-10,台風,typhoon,0.9901,0.0589,0.3018,0.0974,0.1875,0.9901,0.0972,0.1004,0.2667,0.8865,0.2477
2014-08-15,停滞前線,stationary_front,0.9238,0.004,0.1095,0.9019,0.0484,0.0341,0.1032,0.211,0.3864,0.9238,0.2655
2014-11-14,西高東低（冬型）,winter_pressure_pattern,0.9972,0.9972,0.018,0.1767,0.0519,0.0033,0.1249,0.0053,0.1295,0.0324,0.0009
2014-11-28,移動性高気圧,migratory_high,0.9733,0.0099,0.0295,0.1996,0.0178,0.0028,0.9733,0.0161,0.7369,0.0379,0.0035
2014-12-05,西高東低（冬型）,winter_pressure_pattern,0.8568,0.8568,0.1905,0.5665,0.4788,0.0055,0.0461,0.0189,0.1866,0.0231,0.0112
2015-02-12,日本海低気圧,japan_sea_low,0.7961,0.3427,0.2572,0.7961,0.5494,0.0205,0.2741,0.0395,0.19,0.0196,0.0035
2015-03-11,西高東低（冬型）,winter_pressure_pattern,0.9751,0.9751,0.02,0.4307,0.1332,0.0039,0.1286,0.0253,0.3218,0.0188,0.0015
2015-05-12,前線通過（寒冷前線・温暖前線）,front_passage,0.9061,0.0287,0.1886,0.6689,0.438,0.3618,0.1819,0.3431,0.9061,0.3075,0.0538
2015-08-25,台風,typhoon,0.9411,0.0111,0.3734,0.0858,0.0485,0.9411,0.5854,0.15,0.0855,0.1449,0.0883
2016-01-14,西高東低（冬型）,winter_pressure_pattern,0.9321,0.9321,0.2757,0.1611,0.2121,0.006,0.3089,0.0126,0.1765,0.0689,0.0253
2016-01-15,西高東低（冬型）,winter_pressure_pattern,0.6648,0.6648,0.1843,0.1772,0.1529,0.0147,0.4209,0.0996,0.0359,0.0637,0.0104
2016-02-09,日本海低気圧,japan_sea_low,0.9831,0.0588,0.0604,0.9831,0.3453,0.0029,0.2475,0.0134,0.3034,0.0095,0.0072
2016-04-02,南岸低気圧,nankigan_low,0.7631,0.0239,0.7631,0.1731,0.1625,0.0088,0.5522,0.1199,0.2089,0.0337,0.2601
2016-04-07,前線通過（寒冷前線・温暖前線）,front_passage,0.8759,0.0035,0.1908,0.3667,0.163,0.0019,0.6576,0.0724,0.8759,0.258,0.0055
2016-04-21,前線通過（寒冷前線・温暖前線）,front_passage,0.8892,0.0027,0.0604,0.1919,0.0429,0.0018,0.7085,0.1629,0.8892,0.1487,0.0003
2016-05-06,停滞前線,stationary_front,0.9156,0.0729,0.0975,0.2657,0.0868,0.0068,0.5674,0.0399,0.1584,0.9156,0.0063
2016-05-15,移動性高気圧,migratory_high,0.9141,0.0284,0.0968,0.1364,0.0158,0.0041,0.9141,0.2304,0.3078,0.0769,0.2505
2016-10-05,台風,typhoon,0.7888,0.0141,0.2327,0.2287,0.0442,0.7888,0.4162,0.0657,0.5899,0.6784,0.0236
2016-10-25,移動性高気圧,migratory_high,0.9042,0.0357,0.0398,0.1208,0.2712,0.0161,0.9042,0.1124,0.052,0.0782,0.0089
2016-12-15,西高東低（冬型）,winter_pressure_pattern,0.9897,0.9897,0.0977,0.0939,0.1227,0.0256,0.1132,0.0603,0.0879,0.0492,0.0128
2017-01-20,二つ玉低気圧,futatsudama_low,0.8635,0.0771,0.3143,0.3711,0.8635,0.0677,0.4276,0.0357,0.2181,0.0644,0.1302
2017-04-06,移動性高気圧,migratory_high,0.937,0.0084,0.0211,0.2368,0.0585,0.0043,0.937,0.2115,0.1896,0.1463,0.0127
2017-04-24,移動性高気圧,migratory_high,0.9812,0.0018,0.0473,0.1608,0.0163,0.0068,0.9812,0.1045,0.0277,0.0597,0.2126
2017-06-01,停滞前線,stationary_front,0.8707,0.0336,0.6944,0.6323,0.2877,0.1991,0.3341,0.0744,0.1747,0.8707,0.2242
2017-06-07,停滞前線,stationary_front,0.7981,0.0414,0.0923,0.2116,0.0156,0.0038,0.6853,0.2111,0.072,0.7981,0.2447
2017-06-21,前線通過（寒冷前線・温暖前線）,front_passage,0.8386,0.0066,0.6246,0.4978,0.6622,0.0531,0.1844,0.1593,0.8386,0.4228,0.2664
2017-11-24,西高東低（冬型）,winter_pressure_pattern,0.9962,0.9962,0.0453,0.1576,0.134,0.0036,0.1444,0.0119,0.0815,0.0346,0.0018
2017-11-25,移動性高気圧,migratory_high,0.9251,0.8605,0.0251,0.0681,0.0271,0.0034,0.9251,0.0068,0.0764,0.037,0.0018
2017-12-05,二つ玉低気圧,futatsudama_low,0.7423,0.5159,0.2563,0.442,0.7423,0.0131,0.0865,0.0371,0.1883,0.0322,0.0308
2017-12-09,西高東低（冬型）,winter_pressure_pattern,0.987,0.987,0.0555,0.136,0.0303,0.003,0.2063,0.0025,0.0173,0.0143,0.0008
2017-12-31,二つ玉低気圧,futatsudama_low,0.8866,0.0558,0.1284,0.6919,0.8866,0.0198,0.2596,0.0171,0.6306,0.0483,0.0098
2018-01-23,二つ玉低気圧,futatsudama_low,0.8049,0.5451,0.07,0.7699,0.8049,0.0029,0.0307,0.008,0.2737,0.0154,0.0028
2018-02-05,日本海低気圧,japan_sea_low,0.9817,0.8623,0.0242,0.9817,0.4352,0.0241,0.0183,0.0304,0.2167,0.0089,0.005
2018-03-05,停滞前線,stationary_front,0.9177,0.0617,0.6067,0.4835,0.2594,0.0088,0.2291,0.0081,0.3357,0.9177,0.0048
2018-04-14,移動性高気圧,migratory_high,0.9205,0.0118,0.2141,0.1553,0.0537,0.0048,0.9205,0.0303,0.6451,0.1583,0.0083
2018-05-02,停滞前線,stationary_front,0.8906,0.006,0.6958,0.1972,0.1426,0.0135,0.3014,0.3104,0.3277,0.8906,0.3375
2018-07-01,太平洋高気圧型,pacific_high,0.9623,0.0028,0.0089,0.0794,0.0127,0.7026,0.2145,0.9623,0.0662,0.9507,0.2522
2018-08-21,台風,typhoon,0.9983,0.0031,0.037,0.7764,0.1974,0.9983,0.1435,0.4788,0.1834,0.4695,0.3166
2018-09-04,台風,typhoon,0.9548,0.0609,0.3491,0.3249,0.3906,0.9548,0.0955,0.197,0.2433,0.7403,0.4805
2018-10-06,停滞前線,stationary_front,0.9048,0.0046,0.1012,0.2302,0.1173,0.6161,0.4018,0.1593,0.2555,0.9048,0.1319
2018-11-23,西高東低（冬型）,winter_pressure_pattern,0.9897,0.9897,0.0217,0.0773,0.0569,0.0073,0.2988,0.0079,0.0282,0.0231,0.0031
2018-12-18,西高東低（冬型）,winter_pressure_pattern,0.9938,0.9938,0.0159,0.1252,0.1274,0.0035,0.3172,0.0085,0.0569,0.0256,0.0017
2018-12-24,西高東低（冬型）,winter_pressure_pattern,0.9958,0.9958,0.0601,0.0203,0.0054,0.0009,0.3417,0.0016,0.039,0.0266,0.0005
2019-01-17,西高東低（冬型）,winter_pressure_pattern,0.999,0.999,0.0643,0.4316,0.2325,0.0016,0.0226,0.0011,0.1708,0.0173,0.0004
2019-01-21,西高東低（冬型）,winter_pressure_pattern,0.9975,0.9975,0.0359,0.2019,0.0731,0.0071,0.1107,0.016,0.0426,0.0111,0.0042
2019-03-30,二つ玉低気圧,futatsudama_low,0.9082,0.0409,0.3851,0.6388,0.9082,0.0577,0.4345,0.0663,0.412,0.325,0.0741
2019-07-26,停滞前線,stationary_front,0.8971,0.0024,0.0588,0.195,0.0265,0.8785,0.165,0.4223,0.1083,0.8971,0.7818
2019-08-14,台風,typhoon,0.9915,0.0081,0.2628,0.1229,0.1984,0.9915,0.1679,0.4901,0.0891,0.9075,0.7035
2020-01-09,西高東低（冬型）,winter_pressure_pattern,0.7751,0.7751,0.0774,0.0731,0.0297,0.0092,0.4614,0.0179,0.0395,0.0302,0.0023
2020-01-21,西高東低（冬型）,winter_pressure_pattern,0.9675,0.9675,0.0527,0.0169,0.0144,0.0068,0.5969,0.0349,0.0668,0.0321,0.0098
2020-03-16,南岸低気圧,nankigan_low,0.7729,0.4691,0.7729,0.0979,0.2585,0.0018,0.4107,0.0018,0.4207,0.1321,0.0074
2020-04-17,移動性高気圧,migratory_high,0.879,0.0055,0.0765,0.1558,0.0761,0.0021,0.879,0.2237,0.0779,0.5162,0.022
2020-05-10,日本海低気圧,japan_sea_low,0.9802,0.0072,0.0613,0.9802,0.2271,0.0061,0.0739,0.0499,0.9258,0.1099,0.0199
2020-05-16,停滞前線,stationary_front,0.8259,0.0163,0.1339,0.4056,0.0407,0.2388,0.3604,0.5662,0.1589,0.8259,0.2442
2020-05-19,二つ玉低気圧,futatsudama_low,0.8898,0.0283,0.7936,0.2323,0.8898,0.1598,0.0955,0.0231,0.742,0.1676,0.2629
2020-06-30,前線通過（寒冷前線・温暖前線）,front_passage,0.8903,0.0148,0.3464,0.8264,0.2251,0.2193,0.1194,0.1777,0.8903,0.2449,0.0927
2020-09-07,停滞前線,stationary_front,0.9578,0.0548,0.1726,0.7011,0.0943,0.5811,0.056,0.5095,0.3963,0.9578,0.0371
2020-12-19,西高東低（冬型）,winter_pressure_pattern,0.9992,0.9992,0.0522,0.0315,0.0335,0.0066,0.0885,0.0072,0.147,0.0938,0.0013
2021-01-02,西高東低（冬型）,winter_pressure_pattern,0.9942,0.9942,0.0657,0.0908,0.0972,0.0078,0.1758,0.0088,0.0786,0.0388,0.0012
2021-01-13,移動性高気圧,migratory_high,0.7524,0.1834,0.1052,0.5353,0.3179,0.0025,0.7524,0.0062,0.1333,0.0252,0.0018
2021-03-04,移動性高気圧,migratory_high,0.7798,0.0556,0.0187,0.0937,0.0579,0.0223,0.7798,0.5484,0.0941,0.0145,0.0074
2021-03-20,移動性高気圧,migratory_high,0.8197,0.1648,0.2273,0.2365,0.1074,0.0094,0.8197,0.015,0.2868,0.7009,0.0362
2021-03-28,前線通過（寒冷前線・温暖前線）,front_passage,0.8829,0.0131,0.4054,0.2999,0.4511,0.005,0.5841,0.0605,0.8829,0.0943,0.0239
2021-04-16,移動性高気圧,migratory_high,0.9328,0.1137,0.0497,0.145,0.0886,0.0215,0.9328,0.1372,0.236,0.0876,0.0762
2021-05-05,前線通過（寒冷前線・温暖前線）,front_passage,0.8833,0.0666,0.2477,0.5166,0.6795,0.033,0.163,0.1694,0.8833,0.2914,0.1079
2021-05-25,南岸低気圧,nankigan_low,0.843,0.0446,0.843,0.4708,0.4567,0.0186,0.178,0.1625,0.7394,0.6187,0.0545
2021-06-03,太平洋高気圧型,pacific_high,0.609,0.0079,0.5158,0.1729,0.1131,0.2932,0.5784,0.609,0.2803,0.5942,0.2514
2021-06-11,太平洋高気圧型,pacific_high,0.8808,0.001,0.0188,0.1708,0.0124,0.026,0.3161,0.8808,0.0759,0.8745,0.0909
2021-08-19,停滞前線,stationary_front,0.9,0.0033,0.0488,0.7288,0.0173,0.0137,0.3892,0.3768,0.1742,0.9,0.0554
2021-11-10,西高東低（冬型）,winter_pressure_pattern,0.9144,0.9144,0.0612,0.8369,0.5043,0.0018,0.0375,0.0187,0.2721,0.0295,0.0015
2021-11-11,西高東低（冬型）,winter_pressure_pattern,0.8587,0.8587,0.0717,0.5722,0.3553,0.0153,0.0959,0.2015,0.366,0.0328,0.0044
2021-11-23,西高東低（冬型）,winter_pressure_pattern,0.9938,0.9938,0.089,0.6899,0.5999,0.0033,0.0134,0.0109,0.2434,0.0732,0.0017
2021-12-04,西高東低（冬型）,winter_pressure_pattern,0.9879,0.9879,0.0568,0.1854,0.138,0.0115,0.2539,0.0069,0.0677,0.0339,0.0022
2022-03-26,前線通過（寒冷前線・温暖前線）,front_passage,0.975,0.048,0.3258,0.7239,0.6886,0.0291,0.0817,0.0904,0.975,0.1786,0.0151
2022-04-26,日本海低気圧,japan_sea_low,0.8847,0.0055,0.1166,0.8847,0.2292,0.0115,0.2921,0.1099,0.5672,0.1876,0.0295
2022-07-04,太平洋高気圧型,pacific_high,0.8145,0.003,0.0374,0.1857,0.0138,0.7977,0.3774,0.8145,0.0899,0.1867,0.2327
2022-08-04,太平洋高気圧型,pacific_high,0.8962,0.0016,0.095,0.394,0.0172,0.0506,0.2772,0.8962,0.223,0.8586,0.2524
2022-09-06,台風,typhoon,0.8064,0.0047,0.1318,0.3982,0.0751,0.8064,0.1244,0.6331,0.3124,0.5527,0.4052
2022-12-02,移動性高気圧,migratory_high,0.9305,0.3227,0.0603,0.039,0.0658,0.0046,0.9305,0.0072,0.0512,0.0266,0.0059
2022-12-07,西高東低（冬型）,winter_pressure_pattern,0.8644,0.8644,0.0167,0.1712,0.0809,0.0018,0.6364,0.0035,0.0637,0.0434,0.0016
2022-12-14,西高東低（冬型）,winter_pressure_pattern,0.9996,0.9996,0.0532,0.2651,0.2349,0.0023,0.0091,0.004,0.198,0.0226,0.0004
2022-12-15,西高東低（冬型）,winter_pressure_pattern,0.9964,0.9964,0.0103,0.1657,0.0265,0.0007,0.2157,0.0007,0.1001,0.0213,0.0002
2022-12-17,二つ玉低気圧,futatsudama_low,0.9334,0.3598,0.0543,0.6898,0.9334,0.0019,0.0641,0.0027,0.1357,0.0453,0.002
2023-03-13,日本海低気圧,japan_sea_low,0.9383,0.0247,0.1123,0.9383,0.4416,0.0058,0.0673,0.0087,0.9104,0.0214,0.0056
2023-05-25,移動性高気圧,migratory_high,0.9906,0.0135,0.0151,0.0248,0.0065,0.009,0.9906,0.2732,0.0115,0.1222,0.0323
2023-08-10,台風,typhoon,0.9952,0.0073,0.1517,0.1758,0.0745,0.9952,0.0743,0.7107,0.1925,0.883,0.3453
2023-08-25,太平洋高気圧型,pacific_high,0.9617,0.0016,0.0256,0.6542,0.0244,0.8153,0.2759,0.9617,0.0939,0.1095,0.1431
2023-11-18,西高東低（冬型）,winter_pressure_pattern,0.8501,0.8501,0.0845,0.5854,0.4729,0.0047,0.0092,0.0331,0.3101,0.0461,0.0009
2023-11-19,西高東低（冬型）,winter_pressure_pattern,0.9867,0.9867,0.007,0.354,0.0531,0.0043,0.0957,0.0281,0.076,0.0661,0.0009
2023-11-28,日本海低気圧,japan_sea_low,0.985,0.1716,0.1174,0.985,0.329,0.0037,0.0088,0.0109,0.9733,0.1479,0.0013
2023-12-03,日本海低気圧,japan_sea_low,0.9365,0.2518,0.0213,0.9365,0.2123,0.0043,0.2472,0.0058,0.1705,0.0112,0.0017
